id,fullText,label
1936441815835508896,"@Expresoec ESTA tipeja la típica mesalina de la politica, tubo que irse de retro con el carton, para estar disfrutando de los dineros del pueblo ecuatoriano ayer CORREISTA DESPUES SOCIALCRISTIANA hoy ADN, atatay la apestosa anda a lavarte el filtro",-1
1934265540488388985,@TioElmoi01 ¿Campeón?...atatay,-1
1933247549407965487,"@andre_carpioc @Lolitoandrade Qué también dirá!!!
Todos atentos a sus perfectas cejas, sus delineados labios, ese blush rosa de impacto y el súper lifting que se mandó!!!
Atatay 🤣🤣🤣",-1
1933194057779696038,@lourdestiban1 atatay eres mitayo sumisa alfombra meada malinche tu amas ese el dinero que te pagan los mafiosos a los cuales sirves tu no tienes un solo en del GENERAL RUMIÑAHUI mestiza de mierda RUBA MARIDUS,-1
1931412662132297807,"@fabovillamar Este miserable dado a sordo siendo un pilche corrupto mafioso NARCO, perteneció al partido político del NARCO ALBANES LASSO ahora todos estos mafiosos se dan a honrados a pulcros ATATAY VILLAMAR APESTAS A CORRUPCION Y A NARCO POLITICO",-1
1931402136354422997,"@deldiaalanoche_ @CarlosVerareal @radiocentroec ATATAY este enano que cuando habla le sale el olor nauseabundo de los muertos por la delincuencia, este NARCO PERIODISTA influyo en personas discapacitadas mentales  a que lleven a viejitos para que voten por su amo el NARCO BANANERO.",-1
1931399677166964752,"@Azul2Rc Y nosotros los humildes te recomendamos o te invitamos a leer el libro de Lourdes Tiban
“ATATAY CORREA”
tendrás la oportunidad de sacar muchas conclusiones entre la verdad y la mentira
Correa no es un fantasma, es un MOUNSTRO!! y sí para Uds. es un angel, porqué vive un infierno?",-1
1931354946504679826,"@ecuainm_oficial @PKnacional18 @AsambleaEcuador estos lo que son es ATATAY estos engendros mestizos, mezcla de los delincuentes españoles y de los traidores indígenas NO TIENEN UN SOLO GEN DE LA RAZA INDOMITA REBELDE DEL GENERAL RUMIÑAUI, ustedes mal paridos mitayos huasicamas son la alfombra meada del NARCO BANANERO",-1
1931353961866363207,"@MnicaArosemena1 como sabes que es correista vieja pedorra atatay es lo que eres tus amos EL DELINCUENTE MORENO EL NARCO ALBANES LASSO Y EL CARTON CON POLVO ya van 8 años y sigues con la muletilla is is culpa dil curria, sera ´porque tienes mierda en vez de sesos.",-1
1931311478369292534,"@AAMM20241989 @alejo027010 @MashiRafael para hacerte el disque educado y se nota que estudiaste en Yachay Atatay y tu maestría en las sabatinas del ladrón de @MashiRafael hablas de drogas con conocimiento de causa, sigue adelante ya mismo nos libramos de ti miserable traficante, drogado, indigente asaltante.",-1
2006124592251703325,@el_telegrafo le veo a esta imbécil atatay jacome y seme viene ese olor a mortecina a aletas mal lavadas a hocico apestoso esta es una mesalina de la politica la que dejo sin juicio político A LOS LADRONES MINISTROS DEL NARCO CARTON FACIL ve burra sigue JUICIO POLITICO,-1
2006069440564060180,@SoyCastillo593 Este miserable que hace quedar mal a los toreros siendo una bacteria fecal en el orto del narco bananero este fue el que presiono para que nombren al narco abogado Godoy  hoy te lavas las manos sien domas atatay que la desodorante jacome,-1
2004690345108631809,@el_telegrafo @natalymorillos @MinGobiernoEc @EcuadorTV esta care tuco ex correista cuota politica de la asesina BALA Y PLOMO ROMO en el gobierno del narco carton si es como TAPADERA la corrupcion el robo el latrocinio de los fondos publicos los narco mafiosos asambleístas de ADN apestan a mierda de la atatay jacome,-1
2003963737774993605,@Felu_Garzon_ @ecuarauz @HijadelSol17 @LuisaGonzalezEc @omaridrovo @alexagacebo @moquina80 @omarmaluk @ArturoJEscala @Edwin20milla3 @RRueda_Ermel a esa atatay jacome si hasta los moscos le corren porque le apesta la cuca a miercoles,-1
2003236161133904345,"@mocavarea @chacon_anabelle Si de ni creer: “se derriten con huy ayayay, aunque están felices con el atatay”.",-1
2002853761551917375,@lamiraecuador el informe de esta cretina lady atatay tiene el olor a los sobacos a las nachas mal lavadas de  este engendro huele a... mierda estas porquerías llegaron por el voto del odio sin tener principios ética solo a servirse del poder y servir a su amo de turno mesalina de la politica,-1
2002760299313868952,@Expresoec ese informe huele a la atatay jacome a...mierda estos son mafiosos narco corruptos cómplices de la delincuencia lo llevan en el ADN,-1
2002247680806764641,"• dime qué frase más me falta si eres bien ecuatoriano hasta las chanclas
😂😂¡Qué bacán! 
•¡De una!
•Chuta 
•Full 
•Achachay
•Arrarray 
•Atatay",0
2001616706033324310,@LaPosta_Ecu esta  bazofia atatay apestosa deberían estar presos YA el narco carton LUQUE MANZANO WON y los mamarrachos ladrones mafiosos cómplices de ESTOS ATRACOS los asambleístas de ADN,-1
2001062363655499954,@iCarlitosOfc DATE EL GUSTO DE PASEAR TE CON ESA ROPA DESDE AHORA MISMO.. SINO TE QUEDARAS CON LAS GANAS... COCHHINO ATATAY QUE ASCO,-1
1939460489668608100,"louis se cabrea porque le preguntan por un pollo, pero luego anda dándole likes a un edit larry… así son todos",-1
1939449884467220726,yo quiero ver cómo zenitsu se cabrea a su hermano pls,0
1939448010250854548,"@Azul2Rc Ese hp de Noboa se la pasa viajando,y no hace presencia,solo fue en la campaña,la policía no puede hacer lo que le compete al Gobierno! Cabrea la actitud del enano ese de cartón,ahora toda la responsabilidad se la dejo a Reimbert,el ronco se hace el cojudo.",-1
1939442270249386126,"@DesdelAtlantico @RanaAgotada @Ortega_Smith Ya me imagino. Igual que la de Madrid. Y que vaya de la mano de @VOXValladolid cabrea aun más.
Nada. Que no se le vote más y listo.
Que todo el mundo de Valladolid se de de baja hasta que dimita toda esa escoria que aprueba la ZBE. Y  @vox_es y @Santi_ABASCAL rehagan el partido",-1
1939442074597658866,"Un sacerdote católico defiende la postura de la Iglesia ante la vida, la enfermedad y la muerte.

¿Y usted se cabrea y deja de asistir a misa?

Usted nunca fue católico.",0
1939430793555652892,"@LRsecreta Al final como lo aprueben, todos pasamos por el aro. Cómo lo de cambiar de coche solo porque el que tenemos no lleva etiqueta. Protestamos nos da la pataleta pero no solucionamos nada. ...Pero como lo hacemos ?? nadie nos mueve, nadie se cabrea de verdad.🤷‍♂️",0
1939428992052019523,@Dulcine28261192 Me indigna y me cabrea,-1
1939426336134905904,@espanol_cabrea @LaEtxebarria jajajajajaja no puedo más...,0
1939420686612680889,"@FRANCESCAGONZ37 @rtve No quieren perder su impunidad y están desesperados. Están viendo que la democracia da pasos cortos pero continuos y eso les cabrea. Ya lo dijo el líder de la fachosfera: ""el que pueda hacer, que haga"". Y en ellos están pero la democracia es más fuerte si se alza la voz y se vota https://t.co/CmTnzJk4BP",0
1939412602188091422,"@Pachorrismo @GradaBpro @__AngelGarcia__ @CordobaCF_ofi Yo no sé si lo conseguirá, pero yo solo sé q cada vez q se cabrea le mete un bombazo al banquillo q ya como te meta broncon no vuelves a hacer el tonto jajajaja",0
2006140832286412889,"Yo sabía que está app tenía algo, mind you no es culpa de HudCon, they did for a check and you would do it too for a check. Por eso me cabrea que solo es subscription ojalá se pudiera comprar solamente el contenido xq yo no quiero apoyar a los otros va que hacen esas cosas.",-1
2006139317144432663,@TheBroukerOVD_ Me cabrea que sea tan imbécil macho,-1
2006129361989066763,@nikys22 A mí te juro que me da igual esos 2 pero joder es que es muy clara la línea que se lleva desde fuera con esa pareja y que algunos fans intenten seguir con una idea falsa que lo único que hace es perjudicar a una mujer que sólo está trabajando me cabrea. Esos 2 los quiero lejos.,-1
2006128762677514412,"@CatalinaPinedaD Depende, unos cuernos son imperdonables, que deje la lavadora sin quitar y se lleve la ropa de olor a humedad cabrea pero no para dejarlo.",0
2006127875628376575,"@versuselearning @Primera_RFEF @CanteiraCeleste @CESabadell @realmurciacfsad @ZCFoficial @CEEuropa @Ourense_CF @CD_Eldense Ponéis: “ ¿ Y algunos que echáis de menos?”

Pues contestas Jorge Mier (que es una opinión) y @__AngelGarcia__ se cabrea y contesta que nos quitemos la bufanda.

Pues nada. La primera RFEF solo la ve él.",0
2006126979775336903,"M cabrea estando en el coxe, le muevo el volante para q se xoke",0
2006124179225993470,"@PorqueTTDalas Jordi dijo en su podcast que una vez le pego una cachetada a su ex luego que ella le gritara durante media hora, Jordi dijo que lo que más le cabrea es que le griten y le metio una cachetada, que por cierto iban discutiendo en el auto con ella gritándole y casi chocan por eso.",0
2006121502530314674,"@AnaA88087185 @Aquila__22 @CelesteAstur @Lapanteraazul1 No han dado explicaciones, eso es lo que cabrea a los vecinos",0
2006110665807671609,"Veo a gente que se cabrea al leer estos tuits. A mí antes me pasaba. Ya no. Asumo cómo es el Madrid actual, que no es que me guste pero así me encabrono menos.",0
2006109104750669889,"Todos los tops de música son artistas estadounidenses o británicos. En parte entiendo que no se es conocedor de la cultura exterior, pero por otro lado me cabrea porque seguro que en cada país hay artistas brutales, y me fascina y frustra que quizás nunca los podré conocer.",0
1939473949319950361,@giraltpablo Quién carajo es Nuno Gómez?,0
1939473894911443186,"@ExpiredGoblogna Carajo que gran talento, deberían enseñar a dibujar, ganaría buen dinero por no decir muchísimo dinero, también deberías hacer un juego ya que los personajes se ven bastante bien",1
1939473882060108037,Quienes carajo son los que están en #pasapalabra ?,0
